Designator,Mid X,Mid Y,Rotation,Layer
A1,321.78625,-38.09,90.0,top
D1,9.525,-38.1,270.0,bottom
D10,214.3125,-45.24375,90.0,bottom
D11,252.4125,-38.1,270.0,bottom
D12,233.3625,-38.1,270.0,bottom
D13,192.88125,-33.3375,270.0,bottom
D14,273.84375,-34.76625,270.0,bottom
D15,9.525,-61.9125,270.0,bottom
D16,28.575,-61.9125,270.0,bottom
D17,47.625,-61.9125,270.0,bottom
D18,66.675,-61.9125,270.0,bottom
D19,85.725,-61.9125,270.0,bottom
D2,33.3375,-38.1,270.0,bottom
D20,104.775,-61.9125,270.0,bottom
D21,123.825,-61.9125,270.0,bottom
D22,142.875,-61.9125,270.0,bottom
D23,161.925,-61.9125,270.0,bottom
D24,180.975,-61.9125,270.0,bottom
D25,200.025,-61.9125,270.0,bottom
D26,219.075,-61.9125,270.0,bottom
D27,238.125,-61.9125,270.0,bottom
D28,278.60625,-52.3875,180.0,bottom
D29,300.0375,-60.96,270.0,bottom
D3,52.3875,-38.1,270.0,bottom
D30,11.90625,-80.9625,270.0,bottom
D31,38.1,-80.9625,270.0,bottom
D32,57.15,-80.9625,270.0,bottom
D33,76.2,-80.9625,270.0,bottom
D34,95.25,-80.9625,270.0,bottom
D35,114.3,-80.01,270.0,bottom
D36,133.35,-80.01,270.0,bottom
D37,152.4,-80.01,270.0,bottom
D38,171.45,-80.01,270.0,bottom
D39,190.5,-80.01,270.0,bottom
D4,71.4375,-38.1,270.0,bottom
D40,209.55,-80.01,270.0,bottom
D41,228.6,-80.01,270.0,bottom
D42,247.65,-80.01,270.0,bottom
D43,271.4625,-82.39125,270.0,bottom
D44,300.0375,-82.39125,270.0,bottom
D45,11.90625,-100.0125,270.0,bottom
D46,42.8625,-100.0125,270.0,bottom
D47,61.9125,-100.0125,270.0,bottom
D48,80.9625,-100.0125,270.0,bottom
D49,100.0125,-100.0125,270.0,bottom
D5,90.4875,-38.1,270.0,bottom
D50,119.0625,-100.0125,270.0,bottom
D51,138.1125,-100.0125,270.0,bottom
D52,157.1625,-100.0125,270.0,bottom
D53,176.2125,-100.0125,270.0,bottom
D54,195.2625,-100.0125,270.0,bottom
D55,214.3125,-100.0125,270.0,bottom
D56,233.3625,-100.0125,270.0,bottom
D57,273.84375,-90.4875,180.0,bottom
D58,300.0375,-100.0125,270.0,bottom
D59,30.95625,-109.5375,0.0,bottom
D6,114.3,-38.1,270.0,bottom
D60,52.3875,-119.0625,270.0,bottom
D61,71.4375,-119.0625,270.0,bottom
D62,90.4875,-119.0625,270.0,bottom
D63,119.0625,-109.5375,0.0,bottom
D64,138.1125,-109.5375,0.0,bottom
D65,157.1625,-109.5375,0.0,bottom
D66,176.2125,-109.5375,0.0,bottom
D67,195.2625,-109.5375,0.0,bottom
D68,214.3125,-109.5375,0.0,bottom
D69,242.8875,-116.68125,90.0,bottom
D7,133.35,-38.1,270.0,bottom
D70,247.65,-116.68125,90.0,bottom
D71,345.28125,-116.68125,270.0,bottom
D72,33.3375,-135.73125,270.0,bottom
D73,57.15,-135.73125,270.0,bottom
D74,80.9625,-135.73125,270.0,bottom
D75,130.96875,-135.73125,270.0,bottom
D76,200.025,-135.73125,270.0,bottom
D77,223.8375,-135.73125,270.0,bottom
D78,247.65,-135.73125,270.0,bottom
D79,271.4625,-135.73125,270.0,bottom
D8,152.4,-38.1,270.0,bottom
D80,316.70625,-128.5875,180.0,bottom
D81,335.75625,-128.5875,180.0,bottom
D82,364.33125,-133.35,270.0,bottom
D9,171.45,-38.1,270.0,bottom
S1,19.05,-35.935,0.0,top
S10,223.52,-35.935,0.0,top
S11,261.62,-35.935,0.0,top
S12,242.57,-35.935,0.0,top
S13,204.47,-35.935,0.0,top
S14,285.75,-35.935,0.0,top
S15,19.05,-59.7475,0.0,top
S16,38.1,-59.7475,0.0,top
S17,57.15,-59.7475,0.0,top
S18,76.2,-59.7475,0.0,top
S19,95.25,-59.7475,0.0,top
S2,43.18,-35.935,0.0,top
S20,114.3,-59.7475,0.0,top
S21,133.35,-59.7475,0.0,top
S22,152.4,-59.7475,0.0,top
S23,171.45,-59.7475,0.0,top
S24,190.5,-59.7475,0.0,top
S25,209.55,-59.7475,0.0,top
S26,228.6,-59.7475,0.0,top
S27,247.65,-59.7475,0.0,top
S28,276.225,-59.7475,0.0,top
S29,309.5625,-59.7475,0.0,top
S3,62.23,-35.935,0.0,top
S30,23.8125,-78.7975,0.0,top
S31,47.625,-78.7975,0.0,top
S32,66.675,-78.7975,0.0,top
S33,85.725,-78.7975,0.0,top
S34,104.775,-78.7975,0.0,top
S35,123.825,-78.7975,0.0,top
S36,142.875,-78.7975,0.0,top
S37,161.925,-78.7975,0.0,top
S38,180.975,-78.7975,0.0,top
S39,200.025,-78.7975,0.0,top
S4,81.28,-35.935,0.0,top
S40,219.075,-78.7975,0.0,top
S41,238.125,-78.7975,0.0,top
S42,257.175,-78.7975,0.0,top
S43,280.9875,-78.7975,0.0,top
S44,309.5625,-78.7975,0.0,top
S45,26.19375,-97.8475,0.0,top
S46,52.3875,-97.8475,0.0,top
S47,71.4375,-97.8475,0.0,top
S48,90.4875,-97.8475,0.0,top
S49,109.5375,-97.8475,0.0,top
S5,100.33,-35.935,0.0,top
S50,128.5875,-97.8475,0.0,top
S51,147.6375,-97.8475,0.0,top
S52,166.6875,-97.8475,0.0,top
S53,185.7375,-97.8475,0.0,top
S54,204.7875,-97.8475,0.0,top
S55,223.8375,-97.8475,0.0,top
S56,242.8875,-97.8475,0.0,top
S57,273.84375,-97.8475,0.0,top
S58,309.5625,-97.8475,0.0,top
S59,30.95625,-116.8975,0.0,top
S6,123.825,-35.935,0.0,top
S60,61.9125,-116.8975,0.0,top
S61,80.9625,-116.8975,0.0,top
S62,100.0125,-116.8975,0.0,top
S63,119.0625,-116.8975,0.0,top
S64,138.1125,-116.8975,0.0,top
S65,157.1625,-116.8975,0.0,top
S66,176.2125,-116.8975,0.0,top
S67,195.2625,-116.8975,0.0,top
S68,214.3125,-116.8975,0.0,top
S69,233.3625,-116.8975,0.0,top
S7,142.875,-35.935,0.0,top
S70,269.08125,-116.8975,0.0,top
S71,335.316024,-116.90698,0.0,top
S72,21.43125,-135.9475,0.0,top
S73,45.24375,-135.9475,0.0,top
S74,69.05625,-135.9475,0.0,top
S75,140.49375,-135.9475,0.0,top
S76,211.93125,-135.9475,0.0,top
S77,235.74375,-135.9475,0.0,top
S78,259.55625,-135.9475,0.0,top
S79,283.36875,-135.9475,0.0,top
S8,161.925,-35.935,0.0,top
S80,316.266024,-135.95698,0.0,top
S81,335.316024,-135.95698,0.0,top
S82,354.366024,-135.95698,0.0,top
S83,273.84375,-100.64445,0.0,top
S84,30.95625,-119.69445,0.0,top
S85,269.08125,-119.69445,0.0,top
S86,276.225,-62.78245,0.0,top
S87,140.49375,-138.74445,0.0,top
S9,180.975,-35.935,0.0,top
