Item,Link to site,Price (USD),QTY,Purpose,,Total + shipping
PCB,https://cart.jlcpcb.com/quote?spm=jlcpcb.Public.2006,$27.40,5 (minimum),Electronics for keyboard,,
Juidinto Hex Socket M2 Screws,https://www.aliexpress.com/item/1005004527586307.html?spm=a2g0o.detail.0.0.11c3fgvnfgvnbD&mp=1&pdp_npi=6%40dis%21USD%21USD+1.13%21USD+1.11%21%21USD+1.11%21%21%21%402103212317823526741237199ea06e%2112000029486656873%21ct%21US%217547000002%21%211%210%21&gatewayAdapt=usa2glo4itemAdapt,$2.33,1,To hold everything together,,
PBT Pudding Keycaps,https://www.aliexpress.com/item/1005012018517535.html?spm=a2g0o.productlist.main.7.71954d54hVE3nP&algo_pvid=f8d263d8-107e-42fb-be14-7c2d645b0794&algo_exp_id=f8d263d8-107e-42fb-be14-7c2d645b0794-6&pdp_ext_f=%7B%22order%22%3A%2223%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2120.35%215.56%21%21%21135.86%2137.15%21%402101e81117896765692928461e1387%2112000057315324355%21sea%21NZ%217985869037%21X%211%210%21n_tag%3A-29911%3Bd%3Af3154200%3Bm03_new_user%3A-29895%3BpisId%3A5000000213800337&curPageLogUid=qlyhQy7xRVpn&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005012018517535%7C_p_origin_prod%3A,$20.65,1,Keycaps,,
DUROCK Plate Mount Stabilizers,https://www.aliexpress.com/item/1005006528731543.html?spm=a2g0o.productlist.0.0.112352680K8Aiv&mp=1&pdp_npi=6%40dis%21USD%21USD+8.16%21USD+7.46%21%21USD+7.46%21%21%21%402103212317823524874202004ea06e%2112000037543723490%21ct%21US%217547000002%21%211%210%21&gatewayAdapt=usa2glo4itemAdapt,$8.84,1,Stabilizers,,
1N4148 Diodes,https://www.aliexpress.com/item/1005002339916163.html?spm=a2g0o.productlist.main.4.6cb16ae2c2K9iQ&aem_p4p_detail=202607311717321159445797392080000109962&algo_pvid=60e80187-334d-4970-9369-da9bf1ee4b9f&algo_exp_id=60e80187-334d-4970-9369-da9bf1ee4b9f-3&pdp_ext_f=%7B%22order%22%3A%221282%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%210.89%210.87%21%21%210.89%210.87%21%402101de2517855434524457575e0cf2%2112000020175180916%21sea%21NZ%217985869037%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af3154200%3Bm03_new_user%3A-29895&curPageLogUid=11r81NCdmT7s&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005002339916163%7C_p_origin_prod%3A&search_p4p_id=202607311717321159445797392080000109962_1,$0.87,1,to control flow of electricity,,
Outemu Tactile Brown Switches,https://www.aliexpress.com/item/1005004285423123.html?spm=a2g0o.productlist.main.11.2f361b6e73HJZu&algo_pvid=a090be33-1bfd-4105-8713-c38f03b5d6f4&algo_exp_id=a090be33-1bfd-4105-8713-c38f03b5d6f4-10&pdp_ext_f=%7B%22order%22%3A%2213737%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.87%210.99%21%21%212.87%210.99%21%402101e7a317855436822738413e0d41%2112000028628937373%21sea%21NZ%217985869037%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af3154200%3Bm03_new_user%3A-29895%3BpisId%3A5000000210976560&curPageLogUid=kVSF8tEkUPWA&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004285423123%7C_p_origin_prod%3A,$3.53,90pcs,switches,,
RP2040 PICO Raspberry Pi Microcontroller,https://www.aliexpress.com/item/1005010706615847.html?spm=a2g0o.detail.0.0.32cafqdcfqdcYI&mp=1&sourceType=570&pdp_npi=6%40dis%21USD%21USD+5.65%21USD+1.76%21%21USD+1.76%21%21%21%402101c4ea17896769891305848e0f2e%2112000053252715800%21ct%21NZ%217985869037%21%211%210%21&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22sourceType%22%3A%22570%22%2C%22cartSource%22%3A%22main%22%7D%7D,$1.76,1,to control everything,,
solder wire,https://www.aliexpress.com/item/1005008618276811.html?spm=a2g0o.detail.0.0.52389B1b9B1bxh&mp=1&sourceType=570&pdp_npi=6%40dis%21USD%21USD+3.51%21USD+1.10%21%21USD+1.10%21%21%21%402101c4ea17896770146086591e0f2e%2112000045972728168%21ct%21NZ%217985869037%21%211%210%21&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22sourceType%22%3A%22570%22%2C%22cartSource%22%3A%22main%22%7D%7D,$1.32,1,to connect electronics,,
3D print,https://www.wcl.govt.nz/services/technology/makerspace/#costs,$20.00,1,to create the case,,
AliExpress Shipping,No link as cost is from all the parts,$6.50,,To get the items,,
JLCPCB Shipping,No link as cost is for shipping for the PCB,$20.69,,To get the PCB,,
Total cost,,,,,,$94.00
