Designator,Footprint,Quantity,Value,LCSC Part #
A1,Arduino_Nano,1,Arduino_Nano_RP2040_Connect,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D9",Diode_DO-35,82,~,
"S1, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19, S2, S20, S21, S22, S23, S24, S25, S26, S27, S29, S3, S31, S32, S33, S34, S35, S36, S37, S38, S39, S4, S40, S41, S42, S44, S46, S47, S48, S49, S5, S50, S51, S52, S53, S54, S55, S56, S58, S6, S60, S61, S62, S63, S64, S65, S66, S67, S68, S69, S7, S71, S8, S80, S81, S82, S9",MX_PCB_1.00u,67,~,
S28,MX_PCB_2.00u,1,~,
"S30, S43",MX_PCB_1.50u,2,~,
S45,MX_PCB_1.75u,1,~,
"S57, S59",MX_PCB_2.25u,2,~,
S70,MX_PCB_2.75u,1,~,
"S72, S73, S74, S76, S77, S78, S79",MX_PCB_1.25u,7,~,
S75,MX_PCB_6.25u,1,~,
"S83, S84",STAB_MX_P_2.25u,2,MX_stab,
S85,STAB_MX_P_2.75u,1,MX_stab,
S86,STAB_MX_2u,1,MX_stab,
S87,STAB_MX_P_6.25u,1,MX_stab,
